material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_La,alpha_Bi_Sn,alpha_La_Bi,alpha_La_La,alpha_La_Sn,alpha_Sn_Bi,alpha_Sn_La,alpha_Sn_Sn
CONTCAR-42_Sn_51,COOH,Sn,1.0435549264327633,1.173254281949934,0.48484848484848486,1.0,-1.4637681159420286,,,,-2.090909090909091,1.0,1.0
CONTCAR-43_Sn_52,COOH,Sn,1.055692887042533,1.1214317083882301,0.6666666666666666,0.6666666666666666,-1.3043478260869563,,,,-2.090909090909091,1.0,1.0
CONTCAR-44_Sn_54,COOH,La,1.1146029625993583,0.5458937198067632,,,,0.3333333333333333,0.3333333333333333,-0.6521739130434782,1.0,-0.4782608695652173,-0.4782608695652173
CONTCAR-45_Sn_57,COOH,Sn,1.080225808935117,0.5150051237007759,0.15151515151515152,0.6666666666666666,-0.8115942028985507,0.5,0.5,-0.9782608695652173,-0.28787878787878785,0.5072463768115942,-0.2318840579710144
CONTCAR-46_Sn_58,COOH,Sn,1.072807999583114,0.49143610013175226,,,,0.0,0.0,0.0,0.48484848484848486,1.0,-1.4637681159420288
CONTCAR-47_Sn_59,COOH,Sn,1.1106738784629857,0.7483530961791831,,,,-1.0454545454545454,0.5,0.5,0.2272727272727273,1.0,-1.217391304347826
CONTCAR-48_Sn_60,COOH,La,0.953522649968364,0.8992094861660078,0.5,0.5,-0.9782608695652173,-2.090909090909091,1.0,1.0,-0.5454545454545454,-0.4782608695652173,1.0
CONTCAR-49_Sn_62,COOH,Sn,1.062173825844928,0.8261967501097937,-0.015151515151515138,0.5,-0.48550724637681153,,,,1.0,1.0,-1.9565217391304346
CONTCAR-50_Sn_63,COOH,Sn,1.0488530955678428,1.150856389986825,1.0,1.0,-1.9565217391304346,,,,0.48484848484848486,1.0,-1.4637681159420288
CONTCAR-51_Sn_64,COOH,Sn,1.0460743318257832,0.7335309617918314,1.0,-0.4782608695652173,-0.4782608695652173,,,,0.2272727272727273,1.0,-1.217391304347826
CONTCAR-52_Sn_66,COOH,Sn,1.0480201992069136,0.6842336407553798,,,,,,,0.27878787878787886,0.7536231884057971,-1.0202898550724637
CONTCAR-53_Sn_67,COOH,Sn,1.0597982299006043,0.670838823012736,-0.5454545454545454,1.0,-0.4782608695652173,,,,-0.030303030303030276,1.0,-0.9710144927536231
CONTCAR-5_Bi_5,COOH,La,0.8790245598956611,0.6701800614844093,1.0,1.0,-1.9565217391304346,0.0,0.0,0.0,-1.0606060606060606,1.0,0.01449275362318847
CONTCAR-6_Bi_6,COOH,Bi,1.048330741984323,0.9510320597277118,-0.5454545454545454,1.0,-0.4782608695652173,1.0,1.0,-1.9565217391304346,-1.3181818181818181,1.0,0.26086956521739135
CONTCAR-7_Bi_7,COOH,Bi,1.109286327127197,0.7821695212999561,0.48484848484848486,1.0,-1.4637681159420288,0.0,0.0,0.0,-2.090909090909091,1.0,1.0
CONTCAR-8_Bi_9,COOH,La,1.0176398244219558,0.8233787146830625,1.0,1.0,-1.9565217391304346,0.7424242424242425,-0.2318840579710144,-0.4782608695652173,-0.030303030303030276,1.0,-0.9710144927536231
CONTCAR-9_Bi_10,COOH,Bi,1.0560589072585782,0.33728590250329377,0.0,0.0,0.0,-0.5454545454545454,1.0,-0.4782608695652173,,,
