name,energy
717.optdone,-315.6558837890625
577.optdone,-315.65484619140625
1431.optdone,-315.6492614746094
1399.optdone,-315.6468811035156
1165.optdone,-315.6339111328125
1138.optdone,-315.6268005371094
700.optdone,-315.6227111816406
799.optdone,-315.6079406738281
1499.optdone,-315.6041564941406
349.optdone,-315.59881591796875
704.optdone,-315.5955810546875
733.optdone,-315.59210205078125
824.optdone,-315.585693359375
478.optdone,-315.5804443359375
968.optdone,-315.5697021484375
538.optdone,-315.5694580078125
1063.optdone,-315.5533142089844
926.optdone,-315.5337829589844
67.optdone,-315.5295104980469
116.optdone,-315.5218811035156
793.optdone,-315.52032470703125
1092.optdone,-315.5039978027344
471.optdone,-315.4930114746094
570.optdone,-315.4920349121094
377.optdone,-315.48486328125
273.optdone,-315.4771728515625
1207.optdone,-315.4720764160156
1345.optdone,-315.46826171875
414.optdone,-315.46728515625
1215.optdone,-315.4671325683594
1037.optdone,-315.4668273925781
766.optdone,-315.4604797363281
382.optdone,-315.433349609375
280.optdone,-315.4292297363281
1359.optdone,-315.42657470703125
1006.optdone,-315.4072265625
1421.optdone,-315.4046325683594
1477.optdone,-315.4022521972656
1030.optdone,-315.3885192871094
497.optdone,-315.3876037597656
294.optdone,-315.3722229003906
231.optdone,-315.370361328125
212.optdone,-315.3685302734375
235.optdone,-315.364501953125
927.optdone,-315.3513488769531
850.optdone,-315.34576416015625
56.optdone,-315.34014892578125
738.optdone,-315.33087158203125
197.optdone,-315.3294677734375
437.optdone,-315.3216247558594
1310.optdone,-315.3186340332031
608.optdone,-315.3175964355469
512.optdone,-315.3041687011719
615.optdone,-315.29998779296875
1368.optdone,-315.28509521484375
267.optdone,-315.27703857421875
901.optdone,-315.27276611328125
1205.optdone,-315.26806640625
928.optdone,-315.25958251953125
200.optdone,-315.2524719238281
1249.optdone,-315.2345886230469
54.optdone,-315.2318115234375
276.optdone,-315.2314147949219
465.optdone,-315.22894287109375
78.optdone,-315.22454833984375
978.optdone,-315.2148132324219
1192.optdone,-315.2005310058594
870.optdone,-315.2004699707031
1099.optdone,-315.19476318359375
1439.optdone,-315.1937561035156
172.optdone,-315.1861877441406
250.optdone,-315.1845703125
1463.optdone,-315.1817932128906
1113.optdone,-315.1795349121094
229.optdone,-315.17303466796875
1453.optdone,-315.1650390625
59.optdone,-315.158447265625
715.optdone,-315.15679931640625
327.optdone,-315.15679931640625
552.optdone,-315.144287109375
559.optdone,-315.1429443359375
