structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_Co__bulk,alpha_Co__surface,alpha_La__bulk,alpha_La__surface,alpha_Ni__bulk,alpha_Ni__surface,alpha_Sn__bulk,alpha_Sn__surface
1317.optdone,58,10,3.572386070545452,7.144772141090904,22.548033703919927,22.33870831598295,22.249332208847857,0.02857142857142847,-0.0049261083743843415,0.4769230769230769,-0.08222811671087538,-0.4571428571428571,0.0788177339901478,-0.5692307692307692,0.09814323607427045,0.5142857142857142,-0.08866995073891637
1318.optdone,59,9,3.6466457771119423,7.2932915542238845,22.465996322472037,22.229724585016633,22.39638929855562,1.0,-0.15254237288135597,0.41880341880341876,-0.06388526727509802,-1.1587301587301586,0.17675544794188858,-0.7435897435897436,0.11342894393741854,0.46031746031746035,-0.07021791767554486
1319.optdone,58,10,3.60066764955121,7.20133529910242,22.630538085034225,22.23918511900008,22.483626382155048,0.02857142857142847,-0.0049261083743843415,0.4769230769230769,-0.08222811671087538,-0.9428571428571431,0.16256157635467972,-0.04615384615384621,0.007957559681697646,0.5142857142857142,-0.08866995073891637
132.optdone,54,14,3.559161254303883,7.118322508607766,22.447834185541534,22.098154997408944,22.095936858541755,1.0,-0.2592592592592593,-0.1208791208791209,0.031339031339031376,0.653061224489796,-0.1693121693121693,-1.2417582417582418,0.32193732193732194,-0.3877551020408163,0.10052910052910058
1320.optdone,57,11,3.583841570345527,7.167683140691054,22.542288531217345,22.344917419370255,22.721616287845645,0.11688311688311681,-0.022556390977443552,0.5244755244755244,-0.10121457489878538,0.5584415584415584,-0.10776942355889729,-0.4265734265734267,0.08232118758434548,-0.7662337662337664,0.1478696741854637
1321.optdone,59,9,3.4597422870999948,6.9194845741999895,22.50139399113633,22.436645205304032,22.46120266123559,-0.6190476190476191,0.09443099273607747,-0.7435897435897436,0.11342894393741854,0.46031746031746035,-0.07021791767554486,0.41880341880341876,-0.06388526727509802,0.46031746031746035,-0.07021791767554486
1322.optdone,55,13,3.5794885039747237,7.1589770079494475,22.115622984943997,22.58849086930916,22.64575947649911,0.2527472527472526,-0.05974025974025965,-0.2071005917159765,0.04895104895104885,1.0,-0.23636363636363633,-1.0118343195266273,0.2391608391608392,-0.1208791208791209,0.02857142857142847
1323.optdone,57,11,3.6624805517144297,7.324961103428859,22.484254202794226,22.265463517623356,22.406644456176505,-0.3246753246753247,0.06265664160401008,-0.4265734265734267,0.08232118758434548,1.0,-0.1929824561403508,0.5244755244755244,-0.10121457489878538,-0.7662337662337664,0.1478696741854637
1324.optdone,61,7,3.479329721020347,6.958659442040694,22.497535772271945,22.06759402524274,22.61069909427765,-0.3877551020408163,0.04449648711943788,1.0,-0.11475409836065564,-1.0816326530612246,0.1241217798594847,-0.4945054945054945,0.05674653215636816,1.0,-0.11475409836065587
1325.optdone,61,7,3.439008832844005,6.87801766568801,22.6004699295277,22.584302848206374,22.30860195330854,0.30612244897959184,-0.03512880562060894,0.25274725274725274,-0.02900378310214391,-1.0816326530612246,0.1241217798594847,0.25274725274725274,-0.02900378310214391,0.30612244897959184,-0.03512880562060894
1326.optdone,56,12,3.8082857709604956,7.616571541920991,22.05588846623155,22.753421785149055,22.82045812938995,0.5952380952380952,-0.12755102040816335,-0.7435897435897436,0.15934065934065922,0.5952380952380952,-0.12755102040816335,0.5641025641025641,-0.1208791208791209,-1.0238095238095242,0.21938775510204067
1327.optdone,58,10,3.512690703235422,7.025381406470844,22.272679215079222,22.580060235516044,22.57240810474607,0.5142857142857142,-0.08866995073891637,0.4769230769230769,-0.08222811671087538,0.5142857142857142,-0.08866995073891637,-1.6153846153846154,0.2785145888594164,0.02857142857142847,-0.0049261083743843415
1328.optdone,57,11,3.698843179536247,7.397686359072494,22.110135773699984,22.98512623408228,22.148598545748293,0.5584415584415584,-0.10776942355889729,0.5244755244755244,-0.10121457489878538,-0.7662337662337664,0.1478696741854637,-0.4265734265734267,0.08232118758434548,0.11688311688311681,-0.022556390977443552
1329.optdone,60,8,3.520733901220097,7.041467802440194,22.354837034436137,22.90014906974329,22.746647557082067,0.3928571428571428,-0.05238095238095242,0.34615384615384615,-0.04615384615384621,-0.2142857142857144,0.02857142857142847,-0.3076923076923077,0.04102564102564099,-0.2142857142857144,0.02857142857142847
133.optdone,54,14,3.7804241684256,7.5608483368512,22.584204756878314,22.377560573257067,22.55704024943848,0.30612244897959184,-0.0793650793650793,-1.2417582417582418,0.32193732193732194,0.653061224489796,-0.1693121693121693,0.6263736263736264,-0.16239316239316248,-0.3877551020408163,0.10052910052910058
1330.optdone,58,10,3.506922395571019,7.013844791142038,22.42224554929418,22.27348023936787,22.443564099232038,1.0,-0.1724137931034484,-0.5692307692307692,0.09814323607427045,0.02857142857142847,-0.0049261083743843415,-0.04615384615384621,0.007957559681697646,-0.4571428571428571,0.0788177339901478
1331.optdone,54,14,3.711504078883191,7.423008157766382,22.425551323552966,22.427776360324366,22.58611083693585,0.653061224489796,-0.1693121693121693,-1.2417582417582418,0.32193732193732194,0.30612244897959184,-0.0793650793650793,0.25274725274725274,-0.06552706552706544,-0.04081632653061229,0.010582010582010581
1332.optdone,58,10,3.427283510647517,6.854567021295034,22.343670645576015,22.488120865070016,22.71793126211332,0.02857142857142847,-0.0049261083743843415,0.4769230769230769,-0.08222811671087538,0.02857142857142847,-0.0049261083743843415,-0.5692307692307692,0.09814323607427045,0.02857142857142847,-0.0049261083743843415
1335.optdone,55,13,3.784897833393785,7.56979566678757,22.32309362447103,22.37803113001225,22.3315437852421,0.6263736263736264,-0.148051948051948,-1.0118343195266273,0.2391608391608392,0.2527472527472526,-0.05974025974025965,-0.2071005917159765,0.04895104895104885,0.2527472527472526,-0.05974025974025965
