material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_Co,alpha_Bi_La,alpha_Bi_Ni,alpha_Bi_Sn,alpha_Co_Bi,alpha_Co_Co,alpha_Co_La,alpha_Co_Ni,alpha_Co_Sn,alpha_La_Bi,alpha_La_Co,alpha_La_La,alpha_La_Ni,alpha_La_Sn,alpha_Ni_Bi,alpha_Ni_Co,alpha_Ni_La,alpha_Ni_Ni,alpha_Ni_Sn,alpha_Sn_Bi,alpha_Sn_Co,alpha_Sn_La,alpha_Sn_Ni,alpha_Sn_Sn
CONTCAR-12_La_13-2_Bi_67,OCHO,La,0.9141593004956061,1.0072664835164835,-0.2142857142857144,-0.08974358974358976,1.0,-1.833333333333333,1.0,0.21071428571428563,0.4115384615384615,-0.33571428571428574,-0.43846153846153846,0.1499999999999999,1.0,-4.230769230769231,1.0,1.0,1.0,,,,,,1.0,-0.7435897435897436,1.0,-2.4871794871794872,1.0
CONTCAR-12_La_13-3_Bi_55,OCHO,La,0.8483410493889137,0.9551098901098901,0.19047619047619038,-0.452991452991453,1.0,-1.9059829059829057,1.0,0.21071428571428563,0.4115384615384615,-0.33571428571428574,-0.43846153846153846,0.1499999999999999,1.0,-4.230769230769231,1.0,1.0,1.0,,,,,,,,,,
CONTCAR-12_La_13-4_Sn_47,OCHO,La,0.8757287553848987,1.208379120879121,1.0,1.0,1.0,-4.230769230769231,1.0,0.3928571428571428,0.34615384615384615,-0.2142857142857144,-0.3076923076923077,-0.2142857142857144,1.0,-4.230769230769231,1.0,1.0,1.0,,,,,,1.0,-0.7435897435897436,1.0,-2.4871794871794872,1.0
CONTCAR-12_La_13-5_Bi_64,OCHO,La,0.8546178425114792,1.0671978021978021,1.0,-1.1794871794871795,1.0,-2.051282051282051,1.0,0.21071428571428563,0.4115384615384615,-0.33571428571428574,-0.43846153846153846,0.1499999999999999,1.0,-4.230769230769231,1.0,1.0,1.0,,,,,,,,,,
CONTCAR-13_Co_22-1_Bi_61,OCHO,La,0.9071013032404166,0.9211302586302585,1.0,-2.4871794871794872,1.0,0.1282051282051282,0.19047619047619047,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,,,,,,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-13_Co_22-2_Sn_52,OCHO,Co,1.0142291517275186,0.9211302586302585,1.0,-2.4871794871794872,1.0,0.1282051282051282,0.19047619047619047,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,,,,,,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-13_Co_22-3_Co_24,OCHO,Co,1.016870253274755,0.7513538842110272,1.0,-1.905982905982906,1.0,-0.1623931623931624,-0.07936507936507937,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,1.0,-2.051282051282051,1.0,-1.1794871794871795,1.0,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,0.41880341880341876,-0.6190476190476191,0.653061224489796,-2.456043956043956,1.0,-0.4010989010989011,1.0
CONTCAR-13_Co_22-5_Bi_54,OCHO,La,0.9132084706759609,1.0211302586302584,1.0,-2.4871794871794872,1.0,0.1282051282051282,0.19047619047619047,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,1.0,-4.230769230769231,1.0,1.0,1.0,,,,,,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-14_Co_24-2_Sn_52,OCHO,Co,1.0325820103714365,0.7372377463806036,1.0,-1.905982905982906,1.0,-0.1623931623931624,-0.07936507936507937,-0.16417233560090705,-0.17899877899877903,0.1750566893424036,0.22783882783882783,-0.05623582766439913,1.0,-2.051282051282051,1.0,-1.1794871794871795,1.0,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,0.41880341880341876,-0.6190476190476191,0.653061224489796,-2.456043956043956,1.0,-0.4010989010989011,1.0
CONTCAR-14_Co_24-3_Bi_60,OCHO,La,0.9024220733083647,0.8157195185766614,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,-0.3877551020408163,-0.1208791208791209,0.30612244897959184,0.6263736263736264,-0.3877551020408163,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,0.41880341880341876,-0.6190476190476191,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-14_Co_24-4_Bi_54,OCHO,La,0.9019300893901463,0.8157195185766614,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,-0.3877551020408163,-0.1208791208791209,0.30612244897959184,0.6263736263736264,-0.3877551020408163,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,0.41880341880341876,-0.6190476190476191,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-15_Ni_38-1_Bi_56,OCHO,La,0.9019187872677727,0.888904761904762,1.0,-0.5256410256410257,1.0,-1.9423076923076925,0.29166666666666663,0.02857142857142847,0.4769230769230769,-0.4571428571428571,-0.5692307692307692,0.5142857142857142,1.0,1.0,1.0,-4.230769230769231,1.0,-0.3492063492063492,0.12820512820512814,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-15_Ni_38-2_Bi_55,OCHO,La,0.8925855688040877,0.888904761904762,1.0,-0.5256410256410257,1.0,-1.9423076923076925,0.29166666666666663,0.02857142857142847,0.4769230769230769,-0.4571428571428571,-0.5692307692307692,0.5142857142857142,1.0,1.0,1.0,-4.230769230769231,1.0,-0.3492063492063492,0.12820512820512814,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-15_Ni_38-3_Sn_41,OCHO,La,0.8633794195222657,1.0886370573870574,1.0,1.0,1.0,-2.9230769230769234,-0.2142857142857144,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.45039682539682546,0.09188034188034183,0.15674603174603174,-0.2350427350427351,0.42658730158730157,-1.4285714285714288,1.0,1.0,-1.6153846153846154,1.0
CONTCAR-15_Ni_38-4_Bi_64,OCHO,La,0.8552334739535206,1.0073733211233211,1.0,-1.1794871794871795,1.0,-1.1794871794871795,0.19047619047619047,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.45039682539682546,0.09188034188034183,0.15674603174603174,-0.2350427350427351,0.42658730158730157,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-16_Ni_39-1_Bi_61,OCHO,La,0.8741426398578488,0.7888304288304288,-0.2142857142857144,-0.7435897435897436,1.0,-1.1794871794871795,1.0,0.3131313131313131,-0.44418544418544426,-0.10389610389610393,0.3307433307433307,-0.10389610389610393,1.0,-2.051282051282051,1.0,-1.1794871794871795,1.0,-0.2142857142857144,-0.3076923076923077,-1.4285714285714288,1.0,1.0,-0.6190476190476191,-0.7435897435897436,1.0,-0.7435897435897436,1.0
CONTCAR-16_Ni_39-2_Bi_62,OCHO,La,0.8745031967505341,0.8082539682539682,-0.2142857142857144,-0.7435897435897436,1.0,-1.1794871794871795,1.0,0.19047619047619047,-0.45299145299145305,-0.2142857142857143,0.7094017094017093,-0.2142857142857143,1.0,-2.051282051282051,1.0,-1.1794871794871795,1.0,-0.2142857142857144,-0.3076923076923077,-1.4285714285714288,1.0,1.0,-0.6190476190476191,-0.7435897435897436,1.0,-0.7435897435897436,1.0
CONTCAR-17_Sn_40-1_Bi_58,OCHO,La,0.9153170770183231,0.7965136054421769,1.0,-0.7435897435897436,1.0,0.4188034188034188,-1.6984126984126984,-0.2142857142857144,-0.3076923076923077,0.3928571428571428,0.34615384615384615,-0.2142857142857144,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,,,,,,0.653061224489796,-0.027472527472527486,1.0,-0.7747252747252747,-0.9081632653061226
