material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_Co,delta_La,delta_Ni,delta_Sn
CONTCAR-6_La_5-4_Bi_57,OCHO,La,0.893934895,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-6_La_5-5_Bi_66,OCHO,La,0.866664125,0.412747253,-0.942857143,-0.046153846,0.028571429,-0.046153846,1
CONTCAR-7_La_6-1_Co_24,OCHO,La,0.898787694,0.295054945,-0.214285714,-0.307692308,0.392857143,0.346153846,-0.214285714
CONTCAR-7_La_6-2_Bi_60,OCHO,La,0.912577953,0.605651491,-1.081632653,0.252747253,0.306122449,1,-0.387755102
CONTCAR-7_La_6-3_Bi_58,OCHO,La,0.852456439,0.511355311,-0.619047619,0.128205128,0.19047619,1,-0.619047619
CONTCAR-7_La_6-4_Bi_54,OCHO,La,0.854523358,0.409230769,-0.942857143,-0.046153846,0.028571429,1,0.028571429
CONTCAR-7_La_6-5_Sn_43,OCHO,La,0.900648286,0.439874411,0.306122449,0.252747253,0.306122449,0.252747253,-1.081632653
CONTCAR-7_La_6-6_Sn_40,OCHO,La,0.871181398,0.847619048,-0.619047619,1,0.19047619,1,-1.428571429
CONTCAR-8_La_7-1_Bi_67,OCHO,La,0.917627254,0.58046398,0.46031746,1,-0.619047619,-0.743589744,-0.079365079
CONTCAR-8_La_7-2_Sn_47,OCHO,La,0.885843209,0.884981685,1,1,-0.619047619,-1.615384615,0.19047619
CONTCAR-8_La_7-3_Bi_65,OCHO,La,0.853830257,0.79010989,-1.428571429,1,-0.214285714,-0.307692308,1
CONTCAR-9_La_8-1_Sn_47,OCHO,La,0.876586564,0.408791209,1,-0.307692308,-0.214285714,-0.307692308,-0.214285714
CONTCAR-9_La_8-2_Bi_64,OCHO,La,0.919370251,0.251282051,-0.619047619,0.128205128,0.19047619,0.128205128,0.19047619
CONTCAR-9_La_8-3_Bi_59,OCHO,La,0.913282546,0.797802198,-1.914285714,-0.046153846,0.028571429,1,1
CONTCAR-9_La_8-4_Bi_57,OCHO,La,0.893137872,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
