elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-9_Bi_5,H,0.6110631518873542,0.2505500000000228,0.7271200000000614
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-10_Bi_0,H,0.6958597650651203,0.39732000000002643,0.946070000000068
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-1_Bi_37,H,-0.05554321177878319,0.39732000000002643,0.7430600000000619
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-2_Bi_7,H,0.10623777518172074,0.39732000000002643,0.7373000000000526
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-3_Bi_66,H,0.3576029203800761,0.39732000000002643,0.7591900000000374
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-4_Bi_18,H,-0.1862213258530617,0.39732000000002643,0.7330400000000646
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-5_Bi_25,H,-0.08663306528412927,0.39732000000002643,0.7301400000000536
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-6_Bi_36,H,0.6348074972540211,0.39732000000002643,0.7222400000000472
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-7_Bi_27,H,-0.7472392066720067,0.39732000000002643,0.7552100000000247
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-8_Bi_16,H,0.837895208699612,0.39732000000002643,0.8024100000000568
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-9_Bi_5,H,0.14793075774251743,0.39732000000002643,0.7271200000000614
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-10_Bi_0,H,0.7285514718256464,0.40795000000001835,0.946070000000068
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-1_Bi_37,H,0.7245961895191024,0.40795000000001835,0.7430600000000619
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-2_Bi_7,H,0.7240904691479706,0.40795000000001835,0.7373000000000526
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-3_Bi_66,H,-0.7811259784681734,0.40795000000001835,0.7591900000000374
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-4_Bi_18,H,0.8546062998396026,0.40795000000001835,0.7330400000000646
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-5_Bi_25,H,0.8111849432572577,0.40795000000001835,0.7301400000000536
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-6_Bi_36,H,-0.38102578458560843,0.40795000000001835,0.7222400000000472
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-7_Bi_27,H,0.28577600835591416,0.40795000000001835,0.7552100000000247
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-8_Bi_16,H,0.01574335138289762,0.40795000000001835,0.8024100000000568
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-9_Bi_5,H,-0.8754396017216486,0.40795000000001835,0.7271200000000614
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-10_Co_39,H,-0.5583983689645393,-6.972099999999964,-5.441389999999965
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-1_Co_38,H,0.9792078607874608,-6.972099999999964,-2.325619999999967
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-2_Co_60,H,-0.515056567574974,-6.972099999999964,-5.764299999999944
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-3_Co_23,H,-0.3500903617319049,-6.972099999999964,-6.582499999999934
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-4_Co_55,H,0.46709835028505003,-6.972099999999964,-6.604259999999963
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-5_Co_67,H,0.9858936615770074,-6.972099999999964,-1.2711799999999673
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-6_Co_53,H,-0.8765309716722709,-6.972099999999964,-6.493539999999948
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-7_Co_58,H,-0.41565963038093684,-6.972099999999964,-4.867939999999985
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-8_Co_1,H,0.6401283629609745,-6.972099999999964,-1.7557599999999614
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-9_Co_27,H,0.763084654287261,-6.972099999999964,-4.495719999999958
Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-10_Co_39,H,-0.38441105236492695,-4.299059999999949,-5.441389999999965
Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-1_Co_38,H,-0.2174722852767138,-4.299059999999949,-2.325619999999967
Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-2_Co_60,H,0.919475641724218,-4.299059999999949,-5.764299999999944
Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-3_Co_23,H,-0.705707631853551,-4.299059999999949,-6.582499999999934
