elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-4_Bi_61,COOH,0.2571006965271286,0.39732000000002643,1.1484200000000118
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-5_Bi_23,COOH,0.7420329754260387,0.39732000000002643,0.9523900000000043
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-6_Bi_18,COOH,-0.26557405102822634,0.39732000000002643,0.9278299999999962
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-7_Bi_16,COOH,0.8379135999579229,0.39732000000002643,1.1616699999999827
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-8_Bi_10,COOH,-0.08831754004141086,0.39732000000002643,0.8883199999999891
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-9_Bi_8,COOH,0.8809512590213101,0.39732000000002643,0.9278799999999836
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-10_Bi_56,COOH,-0.9426622279173806,0.40795000000001835,1.1744700000000097
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-1_Bi_53,COOH,-0.1624677106738259,0.40795000000001835,1.1691699999999758
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-2_Bi_9,COOH,0.949576427471317,0.40795000000001835,1.175089999999979
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-3_Bi_1,COOH,-0.0018659411293928676,0.40795000000001835,1.1828000000000105
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-4_Bi_61,COOH,-0.19180496855143853,0.40795000000001835,1.1484200000000118
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-5_Bi_23,COOH,0.6915522667030471,0.40795000000001835,0.9523900000000043
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-6_Bi_18,COOH,0.816727653312415,0.40795000000001835,0.9278299999999962
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-7_Bi_16,COOH,-5.736154439833774e-05,0.40795000000001835,1.1616699999999827
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-8_Bi_10,COOH,-0.19131106569176418,0.40795000000001835,0.8883199999999891
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-9_Bi_8,COOH,0.1692539790344493,0.40795000000001835,0.9278799999999836
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-1_Co_53,COOH,-0.9177790530338436,-6.972099999999964,-5.740449999999985
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-2_Co_9,COOH,0.02881305661166046,-6.972099999999964,0.5825799999999748
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-3_Co_1,COOH,0.7776833197289207,-6.972099999999964,-4.1793800000000125
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-4_Co_61,COOH,-0.7070855196805524,-6.972099999999964,-2.17048000000003
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-5_Co_23,COOH,-0.3669949723171494,-6.972099999999964,-5.775650000000017
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-6_Co_18,COOH,0.7727644786519263,-6.972099999999964,-6.595600000000022
