name,energy
177.optdone,-352.1403503417969
817.optdone,-352.08843994140625
510.optdone,-352.08673095703125
1295.optdone,-352.0799255371094
57.optdone,-352.0697937011719
802.optdone,-352.0688781738281
714.optdone,-352.0644836425781
1382.optdone,-352.0559997558594
813.optdone,-352.04742431640625
630.optdone,-352.0452880859375
402.optdone,-352.02642822265625
1031.optdone,-352.02386474609375
429.optdone,-352.01568603515625
1259.optdone,-352.0126037597656
451.optdone,-351.9928894042969
266.optdone,-351.98956298828125
1035.optdone,-351.9859924316406
494.optdone,-351.9701232910156
360.optdone,-351.9577941894531
98.optdone,-351.9490661621094
487.optdone,-351.9330139160156
691.optdone,-351.9239501953125
583.optdone,-351.92303466796875
963.optdone,-351.9229736328125
465.optdone,-351.9169616699219
820.optdone,-351.9103698730469
1134.optdone,-351.88720703125
24.optdone,-351.8868713378906
941.optdone,-351.8765869140625
1182.optdone,-351.8612060546875
140.optdone,-351.8506164550781
702.optdone,-351.8364562988281
984.optdone,-351.82781982421875
962.optdone,-351.82769775390625
611.optdone,-351.8265380859375
110.optdone,-351.8093566894531
1400.optdone,-351.7778625488281
498.optdone,-351.7765197753906
1196.optdone,-351.769775390625
1175.optdone,-351.7668151855469
1288.optdone,-351.765380859375
211.optdone,-351.7615661621094
353.optdone,-351.74578857421875
547.optdone,-351.7445983886719
105.optdone,-351.7412414550781
1354.optdone,-351.7344970703125
148.optdone,-351.7316589355469
1370.optdone,-351.714599609375
647.optdone,-351.7129211425781
74.optdone,-351.7122802734375
437.optdone,-351.70849609375
499.optdone,-351.7076721191406
220.optdone,-351.7074279785156
729.optdone,-351.699951171875
204.optdone,-351.6872863769531
1371.optdone,-351.6700439453125
1355.optdone,-351.6668701171875
1024.optdone,-351.6593322753906
401.optdone,-351.6477355957031
938.optdone,-351.6463317871094
1327.optdone,-351.6419677734375
1396.optdone,-351.6398620605469
1136.optdone,-351.6387939453125
1420.optdone,-351.634033203125
811.optdone,-351.6309814453125
255.optdone,-351.6263427734375
1001.optdone,-351.61981201171875
247.optdone,-351.61151123046875
1351.optdone,-351.6092834472656
312.optdone,-351.607666015625
1450.optdone,-351.59991455078125
1112.optdone,-351.5704650878906
998.optdone,-351.55694580078125
321.optdone,-351.5561218261719
767.optdone,-351.5523986816406
464.optdone,-351.53826904296875
1399.optdone,-351.53472900390625
781.optdone,-351.5160827636719
325.optdone,-351.5068664550781
406.optdone,-351.497802734375
93.optdone,-351.4945983886719
841.optdone,-351.4872741699219
1222.optdone,-351.4781494140625
1278.optdone,-351.47027587890625
929.optdone,-351.46502685546875
1347.optdone,-351.4615478515625
879.optdone,-351.42919921875
1017.optdone,-351.4281005859375
675.optdone,-351.41741943359375
1011.optdone,-351.40802001953125
826.optdone,-351.40625
738.optdone,-351.4056091308594
349.optdone,-351.3989562988281
825.optdone,-351.3829650878906
92.optdone,-351.37591552734375
304.optdone,-351.37554931640625
657.optdone,-351.3748474121094
1302.optdone,-351.3719787597656
948.optdone,-351.3630676269531
1462.optdone,-351.34259033203125
542.optdone,-351.3408508300781
991.optdone,-351.3367004394531
436.optdone,-351.3341369628906
806.optdone,-351.33203125
1150.optdone,-351.3143310546875
1240.optdone,-351.3133239746094
450.optdone,-351.31280517578125
1267.optdone,-351.3121032714844
160.optdone,-351.3114318847656
1086.optdone,-351.3021545410156
511.optdone,-351.2889709472656
1121.optdone,-351.2841796875
1458.optdone,-351.2828063964844
1048.optdone,-351.2802429199219
914.optdone,-351.2662048339844
556.optdone,-351.26470947265625
650.optdone,-351.263916015625
