structure_id,n_all,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,disorder_all,disorder_surface,disorder_bulk,alpha_Bi_Bi__all,alpha_Bi_Bi__bulk,alpha_Bi_Bi__surface,alpha_Bi_La__all,alpha_Bi_La__bulk,alpha_Bi_La__surface,alpha_Bi_Sn__all,alpha_Bi_Sn__bulk,alpha_Bi_Sn__surface,alpha_La_Bi__all,alpha_La_Bi__bulk,alpha_La_Bi__surface,alpha_La_La__all,alpha_La_La__bulk,alpha_La_La__surface,alpha_La_Sn__all,alpha_La_Sn__bulk,alpha_La_Sn__surface,alpha_Sn_Bi__all,alpha_Sn_Bi__bulk,alpha_Sn_Bi__surface,alpha_Sn_La__all,alpha_Sn_La__bulk,alpha_Sn_La__surface,alpha_Sn_Sn__all,alpha_Sn_Sn__bulk,alpha_Sn_Sn__surface
1143.optdone,68,58,10,4.075676728279988,8.151353456559976,22.335504779564285,22.867530596017517,22.620225238873665,0.45820804331716847,0.4504523844696575,0.4850412392792717,0.6247868293322839,0.6279461279461279,0.6242879927090454,-0.853958843089278,-1.039452495974235,-0.8246703715811268,0.2563366585105716,0.4388083735909823,0.22752533507682254,-0.46676619384129264,0.021212121212121293,-0.513240319084475,0.7814188332146744,0.6304347826086957,0.79579826660572,-0.3349468217143074,-0.6507246376811592,-0.30487274400317865,0.4117808629666336,0.4890273363000636,0.39032350926290316,-0.30199384736246726,-0.46089388871997555,-0.2578549469853817,-0.09188349982300827,-0.006871389480085055,-0.11549797491826469
1144.optdone,68,57,11,4.085947864676606,8.171895729353212,22.625966140066733,22.75195166592778,22.9988333153479,0.2354289815064862,0.2164205108097695,0.38802817370011045,0.523150334513971,0.3946969696969697,0.5516955266955268,-0.40578769057029923,-0.022463768115942,-0.4909707844490453,-0.09461697722567286,-0.35507246376811585,-0.0367379802162411,-0.19092306463847955,-0.3862258953168043,-0.16162764003673086,0.29726266172390936,0.722266139657444,0.23351214003387924,-0.11464059989579833,-0.3528326745718049,-0.07891178869439733,-0.06210609767922016,0.15000000000000005,-0.10676001298010862,-0.18548378737414647,-0.6260869565217391,-0.09272522544833747,0.2448896199368789,0.48260869565217385,0.19484349873365897
1145.optdone,68,57,11,4.171899866098527,8.343799732197054,22.6912616116948,22.892166901538936,23.024845758935147,0.43360784967876675,0.4197258548844034,0.5732024349777973,0.5342450478814115,0.31313131313131315,0.5447742733457018,-0.6606437041219648,-0.9710144927536231,-0.6458641427585525,0.14962670180061488,0.6714975845410629,0.12477570738440305,-0.39416211807516144,-0.05606060606060603,-0.5134920634920634,0.7060311459177243,0.5729468599033817,0.7530020703933747,-0.32900651123713504,-0.5193236714975845,-0.26183574879227045,0.21879352531526444,0.5170454545454546,0.1560036454773297,-0.5596213280523299,-1.016183574879227,-0.463502960299299,0.3503405647072943,0.5216183574879227,0.3142820820166358
1146.optdone,68,58,10,4.123926563252097,8.247853126504195,22.475040139186554,23.005146415376263,22.852981810417383,0.3613869523388758,0.35569391257051614,0.41189205035274423,0.5379094963805708,0.2610958065503521,0.5816169210906054,-0.6133657295712631,-0.6524666959449567,-0.6071918927754167,0.09884360259854336,0.40272288098375064,0.05086266390614221,-0.31473686612026525,-0.004935720844811697,-0.37995815986246595,0.5458792625144232,0.40832235397452793,0.5748386116807169,-0.24482660796460412,-0.4036012296881861,-0.211400371812271,0.16375870506305293,0.3474747474747475,0.13620129870129877,-0.44490053110090916,-0.7793880837359097,-0.394727398205659,0.28826176973625,0.44702093397745574,0.26444789510006905
1147.optdone,68,58,10,4.091653989583229,8.183307979166457,23.25056951859761,23.197517583141934,23.251977967795572,0.3778715971937498,0.37631985623641306,0.38656445881742324,0.40706384983244487,0.5644628099173554,0.3913239538239538,-0.6628059248612609,-0.693280632411067,-0.6597584541062801,0.27344050328240055,0.15335968379446652,0.28544858523119393,-0.43381899172413,-0.02718089990817259,-0.49481470549652357,0.6644953450246456,0.6565656565656566,0.6656847982934939,-0.24953804859286893,-0.6305665349143608,-0.1923837756446451,0.30142332415059686,0.34841138659320475,0.28837108458320576,-0.348288174753203,-0.3692577953447517,-0.3424632801444394,0.05997021252219743,0.035994729907773394,0.06663006880398188
1148.optdone,68,57,11,3.8966562370525186,7.793312474105037,22.753408665273884,22.85615563750661,22.614524443254723,0.32828239901268697,0.3060896150158337,0.44856388508123246,0.30301986810251275,0.4317722681359045,0.26515151515151514,-0.5455757461686317,-0.6723759332454984,-0.5082815734989649,0.2557306549401411,0.25937637241985073,0.25465838509316774,-0.29325040352708326,-0.4049586776859504,-0.2764941624032532,0.5312951278924813,0.48484848484848486,0.5382621243490809,-0.2507947419100538,-0.09749670619235833,-0.27378944726770815,0.27951993110095885,0.41329966329966333,0.2594529712711532,-0.3813610040453139,-0.8341384863123992,-0.3134443817052512,0.11399411342700573,0.4388083735909823,0.06527197440240924
1149.optdone,68,55,13,4.053995582766992,8.107991165533983,22.615963117338037,22.907469909046767,22.747230535727578,0.34340132051547634,0.3456261204152011,0.34446998190410577,0.35292833887875213,0.39586776859504136,0.3433862433862434,-0.6617345105487398,-0.5000988142292488,-0.6976535541752933,0.32415088205602044,0.1214426877470356,0.369197147458017,-0.4292376047316758,-0.5023301193755738,-0.41384970691190776,0.5785811122295054,0.6274483970136144,0.568293262801272,-0.1680060120513806,-0.14695871761089144,-0.17243702140727307,0.2788915520140818,0.27859574768665685,0.27897371988281083,-0.28192385224521327,-0.39698523698523697,-0.24996235648409548,0.015158019883917856,0.13050234789365228,-0.01688207122989728
115.optdone,68,58,10,3.871567197401719,7.743134394803438,22.713661614211397,22.883201119372615,23.1033881878514,0.3811391088298762,0.39679299364662307,0.3393363254858643,0.4403429215412686,0.5170454545454546,0.4232979142070052,-0.6418963776671286,-0.38586956521739124,-0.6987912248781812,0.2206988005406978,-0.10869565217391297,0.2938975678106113,-0.28701099076593134,-0.08884297520661155,-0.3058841351049142,0.571717990054474,0.619235836627141,0.567192480857077,-0.297185738017496,-0.5342555994729907,-0.2746076559741155,0.31295678410302924,0.21400367309458224,0.3337890179995444,-0.4788961720908789,-0.3953886693017126,-0.4964766989938614,0.17954620468798171,0.19068950373298202,0.1772002469942974
1150.optdone,68,56,12,3.976416767160066,7.952833534320132,23.064006017423573,22.471577285206052,23.01030537739764,0.26893259168277783,0.24446534430614358,0.399317431377159,0.3882854519218156,0.7595959595959596,0.3057720057720058,-0.38077671121149376,-0.8149758454106277,-0.2842880147227973,0.009373235460192026,0.0884057971014493,-0.00818955601564293,-0.1317916602501582,-0.27008264462809906,-0.09337749792295237,0.40318660545503643,0.38719367588932807,0.4076290858899554,-0.2771250173896676,-0.12885375494071138,-0.31831147918104435,0.10994558800882918,0.2538108356290175,0.08836580086580094,-0.4125372002498655,-0.5668569755526275,-0.38938923395445124,0.3073718551979422,0.3240813936466111,0.30486542443064185
1151.optdone,68,57,11,4.486271526097149,8.972543052194299,22.763352318385945,22.497380068710786,21.914497313680524,0.30182749523311003,0.3010649446042276,0.3322491810634103,0.46086484681526,0.6877869605142333,0.41043771043771043,-0.628632171517547,-0.6462450592885374,-0.6247181964573268,0.1878049267377332,-0.011638120333772428,0.23212560386473433,-0.32277489747845467,-0.007556080283352973,-0.3700577200577199,0.4058808446332076,0.6800301148127236,0.36475845410628016,-0.09713963834946816,-0.6728025597590813,-0.010790200138026179,0.313490067245008,0.1281450872359964,0.35251006303637883,-0.278525465292951,0.016732542819499402,-0.3406850459482038,-0.021334599028360757,-0.1393061045234958,0.0035015073916676576
1152.optdone,68,57,11,4.177885969344627,8.355771938689253,22.529607192543086,22.57842219833362,23.01016214667892,0.3412753657354677,0.34514936728196327,0.3762488595514507,0.342791551882461,0.793939393939394,0.27155768208399794,-0.5185770750988141,-0.7520128824476652,-0.4817187897279429,0.190689503732982,-0.007407407407407307,0.2219679633867277,-0.2655439202870032,0.02214876033057862,-0.34545855379188706,0.5749455123746239,0.27968379446640323,0.6569626562380185,-0.3209469799261858,-0.3008695652173911,-0.32652403956751774,0.21531264080671203,0.38702173247627797,0.18955627705627714,-0.4243111645758148,-0.6066754501537109,-0.39695652173913026,0.2183599429346122,0.23648074952422785,0.21564182194616982
1156.optdone,68,59,9,3.9167409356607057,7.833481871321411,22.660357846850406,22.72325012299137,22.871690471786085,0.39337869361720174,0.40420906654672883,0.33387209823309955,0.41235018425101067,0.48484848484848486,0.4088978842225595,-0.5852326198175999,-0.2318840579710144,-0.6020587418102944,0.19081070444706813,-0.2318840579710144,0.21093902646697676,-0.4236526758265888,0.004040404040404066,-0.5136933242196399,0.8142227023134395,0.6797101449275362,0.842541135447314,-0.40898970804452833,-0.6835748792270531,-0.35118230358504954,0.24539465804287947,0.3014233241505969,0.23359914938862308,-0.3472401574480969,-0.3379007465963987,-0.34920634920634913,0.11251483236360371,0.049582784365393096,0.1257636845737533
1157.optdone,68,55,13,4.31739595583506,8.63479191167012,22.65332905734156,22.69247698460095,22.635723097490995,0.3729653092514825,0.37330814699757753,0.3969539044374354,0.3024116608827353,0.4570615243342516,0.25692640692640695,-0.4316713150705244,-0.4436187966622748,-0.42815734989648024,0.1424079872696474,0.006429512516469038,0.18240165631469984,-0.346341164325354,0.20385674931129483,-0.4288708513708513,0.749477491632501,0.5669740887132192,0.7768530020703933,-0.41819463879955365,-0.7619675010979358,-0.36662870945479636,0.21966132242812086,0.09520661157024798,0.2542320754441967,-0.47831651650177165,-0.5642687747035572,-0.45444088922349785,0.2682056863531344,0.473201581027668,0.2112623822768751
116.optdone,68,58,10,4.00197083653846,8.00394167307692,22.66465476172912,22.51823683020769,22.852222450540527,0.363745031073714,0.373151414645078,0.40893172118468557,0.47006398101439417,0.71900826446281,0.4451695526695527,-0.6817665645728886,-0.6126482213438733,-0.6886783988957902,0.23214014795042467,-0.07509881422924902,0.26286404416839204,-0.3099220279062175,0.044147771420498694,-0.4348878394332938,0.5265811902862942,0.3401236444714706,0.5923897358679968,-0.2301340331586078,-0.3823519475693389,-0.17641006336658507,0.33081207330219187,0.29752066115702486,0.333982683982684,-0.40435710057638213,-0.7470355731225294,-0.37172105557198715,0.08792816089602487,0.46245059288537554,0.05225935784941999
1160.optdone,68,57,11,3.9626718387203503,7.925343677440701,23.06395437290448,22.85171024314974,22.551170233853846,0.29443612286584886,0.2996066910035736,0.2845435026594447,0.4270738673631235,0.1281450872359964,0.4935024851691518,-0.4980117379326865,-0.3035573122529644,-0.5412238325281803,0.08950629958535103,0.180983750548968,0.06917797714899168,-0.29234867021428285,-0.30973370064279154,-0.2897409156500065,0.45662157628131167,0.5415898111550286,0.4438763410502541,-0.1769837178154758,-0.2453227931488801,-0.16673285651546518,0.1255223037831734,-0.030303030303030276,0.15832763727500576,-0.3519608725657875,-0.39613526570048296,-0.3426610003269042,0.2318960602514478,0.42512077294686,0.19121717336820318
1161.optdone,68,57,11,4.21714241454341,8.43428482908682,23.01992674791669,22.7628356760166,23.028631598864973,0.3360407478798382,0.3466151221797886,0.341753148525217,0.5259379509379509,0.5707070707070707,0.5214610389610389,-0.5064715477758956,-0.642512077294686,-0.49286749482401654,0.003400464270029556,0.0966183574879228,-0.005921325051759752,-0.4302847789013796,-0.15206611570247927,-0.5075677409010741,0.6814908468972741,0.6161001317523056,0.6996549344375432,-0.26991410186117176,-0.4706455862977602,-0.21415535618434164,0.13125267354516373,0.26942148760330586,0.10216450216450222,-0.3005802011473088,-0.1288537549407114,-0.33673313719080294,0.17503416558236976,-0.1288537549407114,0.23901056990301844
1162.optdone,68,56,12,4.126394799493892,8.252789598987784,23.0507119317898,23.186650765961762,22.976941130406903,0.3338872012153634,0.3243484485313531,0.3805664240117468,0.5120404159660358,0.5617309458218549,0.5009980759980759,-0.715377946603243,-0.6033157663592446,-0.7402806533241315,0.22560015741833925,0.06600790513833993,0.26106510236945024,-0.4770052301672854,-0.2917814508723599,-0.5159997100188487,0.5187838416571876,0.36016688625384286,0.552176884899997,-0.06251796932326226,-0.08107158541941142,-0.0586119448819677,0.14546709329318028,0.2702020202020202,0.11920710868079293,-0.24366729678638938,-0.7246376811594202,-0.14241037376048815,0.10452485972334748,0.4661835748792271,0.02838618284842543
