structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_La__bulk,alpha_La__surface,alpha_Sn__bulk,alpha_Sn__surface
399.optdone,57,11,4.344116210950046,8.688232421900093,23.021324321479785,23.03579262294172,22.476442858382477,-0.12396694214876036,0.02392344497607668,-0.34387351778656106,0.06636155606407335,0.4624505928853755,-0.08924485125858106
4.optdone,57,11,4.006446083067606,8.012892166135211,22.601090262585725,22.77812806884713,22.747119235639477,0.4380165289256198,-0.08452950558213712,-0.07509881422924902,0.01449275362318847,-0.34387351778656106,0.06636155606407335
40.optdone,56,12,4.335981823961222,8.671963647922444,22.44076905296657,22.51556054417175,23.017603673624368,-0.5454545454545454,0.11688311688311692,0.01449275362318847,-0.0031055900621117516,0.5072463768115942,-0.10869565217391308
401.optdone,57,11,4.166388454665927,8.332776909331853,22.681248094697015,22.597899415619974,22.514337712983505,-0.6859504132231402,0.13237639553429037,0.19367588932806334,-0.037376048817696406,0.4624505928853755,-0.08924485125858106
402.optdone,58,10,4.129789265150039,8.259578530300079,23.1833499351479,23.03625334493273,23.20069820524152,0.38181818181818183,-0.0658307210031348,0.11304347826086969,-0.019490254872563728,-0.4782608695652173,0.08245877061469264
403.optdone,57,11,3.948532562657557,7.897065125315114,23.122867224723972,22.883445449717627,23.09837421620326,0.1570247933884299,-0.030303030303030276,-0.07509881422924902,0.01449275362318847,-0.07509881422924902,0.01449275362318847
404.optdone,57,11,4.038620026373817,8.077240052747634,22.521783661329735,22.9546960093133,23.0749850245674,0.71900826446281,-0.13875598086124397,-0.34387351778656106,0.06636155606407335,-0.34387351778656106,0.06636155606407335
405.optdone,56,12,4.491536490573185,8.98307298114637,22.33883050261823,22.650399528631034,23.152771567975645,0.48484848484848486,-0.10389610389610393,-0.4782608695652173,0.10248447204968958,0.01449275362318847,-0.0031055900621117516
406.optdone,55,13,4.3879771220753225,8.775954244150645,22.9801091656002,22.510081816937735,23.17401726407589,-0.18881118881118875,0.044628099173553815,-0.1371237458193979,0.032411067193675924,0.3177257525083612,-0.07509881422924902
407.optdone,57,11,4.069532771063459,8.139065542126918,23.093962910573513,22.371252964648942,22.821836855331984,0.1570247933884299,-0.030303030303030276,-0.07509881422924902,0.01449275362318847,-0.07509881422924902,0.01449275362318847
409.optdone,58,10,4.006308525997447,8.012617051994894,22.702972323857097,22.717973200042245,22.000704124966038,0.07272727272727286,-0.0125391849529779,-0.4782608695652173,0.08245877061469264,0.408695652173913,-0.0704647676161918
41.optdone,60,8,3.8747876286173257,7.7495752572346515,22.654926506924912,22.71654653325547,22.76691630054248,0.6136363636363636,-0.08181818181818179,-0.10869565217391308,0.01449275362318847,-0.4782608695652173,0.06376811594202914
410.optdone,59,9,3.9969641318379225,7.993928263675845,22.198945359006274,22.862137624594524,22.525904153746808,0.31313131313131315,-0.047765793528505185,0.3429951690821257,-0.052321296978629306,-0.642512077294686,0.09801031687546058
412.optdone,59,9,4.205922406518413,8.411844813036826,22.720056404968297,22.923687806089454,22.88345233883731,0.31313131313131315,-0.047765793528505185,0.01449275362318847,-0.002210759027265974,-0.31400966183574863,0.04789977892409736
413.optdone,60,8,3.956044325260223,7.912088650520446,22.99619543415512,22.882778137335798,22.3989489144466,-0.15909090909090895,0.02121212121212135,-0.10869565217391308,0.01449275362318847,0.26086956521739135,-0.03478260869565197
414.optdone,58,10,4.050517761395889,8.101035522791777,22.998748891470914,22.884133546048382,23.406734754969996,0.6909090909090909,-0.11912225705329149,-0.18260869565217397,0.03148425787106457,-0.4782608695652173,0.08245877061469264
417.optdone,54,14,4.511470794251523,9.022941588503047,23.115925967328913,23.029193495692375,23.369313347353852,0.3376623376623378,-0.08754208754208759,-0.4782608695652173,0.12399355877616758,0.15527950310559013,-0.040257648953301084
418.optdone,58,10,4.005868190184632,8.011736380369264,22.93635557604403,22.792025395327478,22.814903236274056,0.07272727272727286,-0.0125391849529779,-0.7739130434782606,0.13343328335832094,0.7043478260869565,-0.12143928035981988
42.optdone,59,9,4.437625849292541,8.875251698585082,23.437064953846697,23.43827803919139,23.36488809647411,0.31313131313131315,-0.047765793528505185,-0.31400966183574863,0.04789977892409736,0.01449275362318847,-0.002210759027265974
421.optdone,57,11,3.956119009667269,7.912238019334538,23.02340392451956,22.945811335459023,22.52750452974975,-0.6859504132231402,0.13237639553429037,-0.07509881422924902,0.01449275362318847,0.7312252964426877,-0.14111365369946594
422.optdone,56,12,4.1039672008260055,8.207934401652011,22.868275283531766,22.802098945809316,22.795604823536973,0.2272727272727273,-0.04870129870129869,-0.2318840579710144,0.0496894409937888,0.01449275362318847,-0.0031055900621117516
424.optdone,54,14,4.127025104526218,8.254050209052435,22.382606294952534,22.71277880671741,22.71580213951462,-0.10389610389610393,0.026936026936026924,-0.26708074534161486,0.06924315619967791,0.36645962732919257,-0.09500805152979064
426.optdone,59,9,4.015358412957982,8.030716825915963,22.9114372152919,22.864567674396955,22.961658705994324,-0.030303030303030276,0.0046224961479199855,0.01449275362318847,-0.002210759027265974,0.01449275362318847,-0.002210759027265974
427.optdone,58,10,4.003825974885362,8.007651949770723,23.265046030554203,22.400534097516026,23.206242176576538,-0.23636363636363633,0.040752351097178674,-0.4782608695652173,0.08245877061469264,0.7043478260869565,-0.12143928035981988
428.optdone,51,17,4.638653418597793,9.277306837195585,22.54622085202818,22.996357576780802,23.739844133969974,0.09090909090909094,-0.030303030303030276,0.13043478260869568,-0.04347826086956519,-0.21739130434782594,0.07246376811594213
429.optdone,58,10,4.0787550098422205,8.157510019684441,22.830056340724628,22.859403218149648,22.776785144666135,0.6909090909090909,-0.11912225705329149,-0.4782608695652173,0.08245877061469264,-0.18260869565217397,0.03148425787106457
43.optdone,58,10,4.134415873726983,8.268831747453966,22.775844317925245,23.08052161595531,23.451752105040928,-0.8545454545454543,0.14733542319749227,0.408695652173913,-0.0704647676161918,0.408695652173913,-0.0704647676161918
432.optdone,56,12,4.765149134930644,9.530298269861287,22.53696437726966,23.577792385962503,22.403689022825077,-0.28787878787878785,0.06168831168831179,0.01449275362318847,-0.0031055900621117516,0.26086956521739135,-0.05590062111801242
433.optdone,58,10,4.227766573828076,8.455533147656151,23.27098710495916,23.01557009525189,22.817892986771177,0.38181818181818183,-0.0658307210031348,0.408695652173913,-0.0704647676161918,-0.7739130434782606,0.13343328335832094
434.optdone,59,9,4.006614541521129,8.013229083042258,22.51525642165466,23.06049234501131,22.95114151798305,-0.3737373737373737,0.057010785824345156,0.3429951690821257,-0.052321296978629306,0.01449275362318847,-0.002210759027265974
435.optdone,56,12,4.271465091767224,8.542930183534448,23.125603029487365,22.74388973627383,23.178492169222643,0.2272727272727273,-0.04870129870129869,-0.2318840579710144,0.0496894409937888,0.01449275362318847,-0.0031055900621117516
436.optdone,59,9,4.081056939904624,8.162113879809247,22.73756816665501,22.70899781776699,22.918673478085203,-0.030303030303030276,0.0046224961479199855,-0.31400966183574863,0.04789977892409736,0.3429951690821257,-0.052321296978629306
437.optdone,59,9,4.063033049862098,8.126066099724197,22.868258579996528,22.987403404171282,22.67247916267852,0.31313131313131315,-0.047765793528505185,-0.31400966183574863,0.04789977892409736,0.01449275362318847,-0.002210759027265974
438.optdone,58,10,3.9845653017658975,7.969130603531795,22.847253760302866,22.517838580922778,22.888095233294372,0.38181818181818183,-0.0658307210031348,0.11304347826086969,-0.019490254872563728,-0.4782608695652173,0.08245877061469264
439.optdone,56,12,4.295873151760198,8.591746303520395,22.87852623617416,22.39306690337423,22.700295395327704,0.7424242424242424,-0.15909090909090895,-0.9710144927536231,0.2080745341614908,0.26086956521739135,-0.05590062111801242
44.optdone,59,9,4.097742927939668,8.195485855879337,23.603864277971393,23.0988004070438,22.87063518647955,-0.030303030303030276,0.0046224961479199855,0.6714975845410629,-0.10243183492999264,-0.642512077294686,0.09801031687546058
440.optdone,56,12,4.263844567669621,8.527689135339243,22.771369344685407,23.079278570004412,22.70662249797685,0.2272727272727273,-0.04870129870129869,-0.2318840579710144,0.0496894409937888,0.01449275362318847,-0.0031055900621117516
442.optdone,59,9,3.868449758791459,7.736899517582918,22.757358163647783,22.44147971068573,22.766289183390274,-0.030303030303030276,0.0046224961479199855,-0.642512077294686,0.09801031687546058,0.6714975845410629,-0.10243183492999264
443.optdone,58,10,3.898449932379422,7.796899864758844,22.82982299698643,22.904458716405415,22.83363781704916,0.07272727272727286,-0.0125391849529779,-0.7739130434782606,0.13343328335832094,0.7043478260869565,-0.12143928035981988
445.optdone,54,14,4.514057277366712,9.028114554733424,22.97324040297794,22.64728820727581,22.96259375078242,-0.5454545454545454,0.14141414141414144,-0.26708074534161486,0.06924315619967791,0.7888198757763976,-0.20450885668276952
446.optdone,59,9,4.109585231486429,8.219170462972858,23.210235087195958,22.614691095202147,23.01441613218287,-0.030303030303030276,0.0046224961479199855,-0.31400966183574863,0.04789977892409736,0.3429951690821257,-0.052321296978629306
