G,pH=1,pH=7,pH=14
2.55,,-37.8368606,
2.566666667,,-38.15255167,-41.59868524
2.583333333,,,-41.91437631
2.6,-36.80075962,-38.78393381,-42.23006738
2.616666667,,-39.09962488,-42.54575844
2.633333333,,,
2.65,-37.74783282,-39.73100701,-43.17714058
2.666666667,,-40.04669808,
2.683333333,-38.37921496,-40.36238915,
2.7,-38.69490603,-40.67808022,
2.716666667,,-40.99377129,-44.43990486
2.733333333,,,-44.75559593
2.75,-39.64197924,,-45.07128699
2.766666667,-39.95767031,-41.9408445,-45.38697806
2.783333333,-40.27336137,,-45.70266913
2.8,-40.58905244,,-46.0183602
2.816666667,,,-46.33405127
2.833333333,-41.22043458,,-46.64974234
2.85,-41.53612565,,-46.96543341
2.866666667,,,-47.28112448
2.883333333,-42.16750779,-44.15068198,-47.59681554
2.9,,-44.46637305,-47.91250661
2.916666667,,-44.78206411,-48.22819768
2.933333333,,-45.09775518,-48.54388875
2.95,-43.43027206,-45.41344625,
2.966666667,,-45.72913732,
2.983333333,,-46.04482839,
3,-44.37734527,-46.36051946,
